qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes placent les libertés, l’égalité des droits et la lutte contre les discriminations de genre, d’origine, de religion, de handicap ou d’orientation sexuelle au cœur de leur projet. Pour Les Écologistes, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	-3	3	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Le programme 2026 des Écologistes consacre un chapitre aux libertés de migration et défend l’accueil, les droits fondamentaux et l’intégration, plutôt qu’un durcissement général des conditions de séjour et de nationalité. Pour Les Écologistes, sur Q20 (« La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord net : Le programme 2026 des Écologistes consacre un chapitre aux libertés de migration et défend l’accueil, les droits fondamentaux et l’intégration, plutôt qu’un durcissement général des conditions de séjour et de nationalité. Pour Les Écologistes, sur Q21 (« L'immigration économique est globalement bénéfique pour l'économie française. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	-3	3	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Le programme 2026 des Écologistes consacre un chapitre aux libertés de migration et défend l’accueil, les droits fondamentaux et l’intégration, plutôt qu’un durcissement général des conditions de séjour et de nationalité. Pour Les Écologistes, sur Q23 (« L'accès à la nationalité française devrait être rendu plus exigeant. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Le programme 2026 des Écologistes consacre un chapitre aux libertés de migration et défend l’accueil, les droits fondamentaux et l’intégration, plutôt qu’un durcissement général des conditions de séjour et de nationalité. Pour Les Écologistes, sur Q25 (« Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	3	3	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Le programme 2026 des Écologistes consacre un chapitre aux libertés de migration et défend l’accueil, les droits fondamentaux et l’intégration, plutôt qu’un durcissement général des conditions de séjour et de nationalité. Pour Les Écologistes, sur Q26 (« La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes proposent de refonder une police républicaine, de renforcer la justice et de privilégier des réponses proportionnées, la prévention et l’État de droit plutôt qu’une extension générale des pouvoirs coercitifs. Pour Les Écologistes, sur Q27 (« Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Les Écologistes proposent de refonder une police républicaine, de renforcer la justice et de privilégier des réponses proportionnées, la prévention et l’État de droit plutôt qu’une extension générale des pouvoirs coercitifs. Pour Les Écologistes, sur Q29 (« La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines… »), elle contredit presque entièrement le choix proposé : -3.	0	0			
32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	3	3	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent abandonner la croissance du PIB comme boussole, respecter les limites planétaires et imposer des trajectoires écologiques contraignantes dans l’énergie, les transports, le logement, l’agriculture et l’industrie. Pour Les Écologistes, sur Q32 (« La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
33	Écologie	Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique.	3	3	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent abandonner la croissance du PIB comme boussole, respecter les limites planétaires et imposer des trajectoires écologiques contraignantes dans l’énergie, les transports, le logement, l’agriculture et l’industrie. Pour Les Écologistes, sur Q33 (« Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
35	Écologie	Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions.	-1	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Réserve modérée : Les Écologistes veulent abandonner la croissance du PIB comme boussole, respecter les limites planétaires et imposer des trajectoires écologiques contraignantes dans l’énergie, les transports, le logement, l’agriculture et l’industrie. Pour Les Écologistes, sur Q35 (« Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	0	0			
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	3	3	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent abandonner la croissance du PIB comme boussole, respecter les limites planétaires et imposer des trajectoires écologiques contraignantes dans l’énergie, les transports, le logement, l’agriculture et l’industrie. Pour Les Écologistes, sur Q36 (« Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent abandonner la croissance du PIB comme boussole, respecter les limites planétaires et imposer des trajectoires écologiques contraignantes dans l’énergie, les transports, le logement, l’agriculture et l’industrie. Pour Les Écologistes, sur Q37 (« Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
38	Europe	La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes assument explicitement une Europe fédérale, plus démocratique et plus intégrée, et souhaitent européaniser davantage plusieurs politiques économiques, climatiques et de défense. Pour Les Écologistes, sur Q38 (« La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Les Écologistes assument explicitement une Europe fédérale, plus démocratique et plus intégrée, et souhaitent européaniser davantage plusieurs politiques économiques, climatiques et de défense. Pour Les Écologistes, sur Q39 (« La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
40	Europe	L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes assument explicitement une Europe fédérale, plus démocratique et plus intégrée, et souhaitent européaniser davantage plusieurs politiques économiques, climatiques et de défense. Pour Les Écologistes, sur Q40 (« L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
41	Europe	L'Union européenne devrait pouvoir imposer davantage de règles communes aux États membres.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes assument explicitement une Europe fédérale, plus démocratique et plus intégrée, et souhaitent européaniser davantage plusieurs politiques économiques, climatiques et de défense. Pour Les Écologistes, sur Q41 (« L'Union européenne devrait pouvoir imposer davantage de règles communes aux États membres. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
42	Europe	En cas de conflit entre les intérêts économiques français et les règles européennes, la France devrait pouvoir désobéir à certaines règles européennes.	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes assument explicitement une Europe fédérale, plus démocratique et plus intégrée, et souhaitent européaniser davantage plusieurs politiques économiques, climatiques et de défense. Pour Les Écologistes, sur Q42 (« En cas de conflit entre les intérêts économiques français et les règles européennes, la France devrait pouvoir désobéir à certaines règles européennes. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
43	Fiscalité / patrimoine	Il faudrait supprimer l'IFI et ne plus taxer spécifiquement le patrimoine immobilier au-delà de la fiscalité ordinaire.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q43 (« Il faudrait supprimer l'IFI et ne plus taxer spécifiquement le patrimoine immobilier au-delà de la fiscalité ordinaire. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
44	Fiscalité / patrimoine	L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins de patrimoine à leurs enfants.	2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord net : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q44 (« L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
45	Fiscalité / patrimoine	Les très grandes fortunes devraient être imposées sur leur patrimoine mondial, même lorsqu'elles quittent la France.	2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord net : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q45 (« Les très grandes fortunes devraient être imposées sur leur patrimoine mondial, même lorsqu'elles quittent la France. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
46	Travail / chômage	Un chômeur devrait pouvoir perdre une partie significative de ses allocations s'il refuse plusieurs emplois raisonnablement adaptés à ses compétences.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q46 (« Un chômeur devrait pouvoir perdre une partie significative de ses allocations s'il refuse plusieurs emplois raisonnablement adaptés à ses compétences. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
48	Travail / chômage	Le CDI protège trop fortement les salariés déjà en poste et peut rendre plus difficile l’accès à l’emploi stable, au détriment des jeunes, chômeurs ou travailleurs en contrats précaires.	-2	1	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q48 (« Le CDI protège trop fortement les salariés déjà en poste et peut rendre plus difficile l’accès à l’emploi stable, au détriment des jeunes, chômeurs ou… »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
49	Retraites	Les retraites devraient être progressivement réformées vers un système combinant répartition et capitalisation, même si cela implique une période de transition coûteuse.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q49 (« Les retraites devraient être progressivement réformées vers un système combinant répartition et capitalisation, même si cela implique une période de… »), elle contredit presque entièrement le choix proposé : -3.	0	0			
50	Retraites	L'âge légal de départ à la retraite devrait être automatiquement indexé sur l'espérance de vie nationale.	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q50 (« L'âge légal de départ à la retraite devrait être automatiquement indexé sur l'espérance de vie nationale. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
51	Protection sociale	Les prestations sociales devraient être fortement conditionnées à la durée de cotisation et de participation au marché du travail.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q51 (« Les prestations sociales devraient être fortement conditionnées à la durée de cotisation et de participation au marché du travail. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
53	État / entreprises	Une entreprise qui reçoit plusieurs milliards d'euros d'aides publiques devrait pouvoir être contrainte de limiter ses dividendes et les rémunérations de ses dirigeants tant que l'aide n'est pas remboursée.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q53 (« Une entreprise qui reçoit plusieurs milliards d'euros d'aides publiques devrait pouvoir être contrainte de limiter ses dividendes et les rémunérations… »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
54	État / entreprises	L'État devrait davantage utiliser son pouvoir d'actionnaire pour orienter les grandes entreprises françaises vers des objectifs industriels de long terme.	2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q54 (« L'État devrait davantage utiliser son pouvoir d'actionnaire pour orienter les grandes entreprises françaises vers des objectifs industriels de long terme. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
55	État / entreprises	Il faudrait réduire fortement les normes administratives pesant sur les entreprises, même si certaines protections environnementales ou sociales deviennent moins strictes.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q55 (« Il faudrait réduire fortement les normes administratives pesant sur les entreprises, même si certaines protections environnementales ou sociales… »), elle contredit presque entièrement le choix proposé : -3.	0	0			
57	Immigration / assimilation	L'accès à certaines prestations sociales devrait être beaucoup plus limité pendant les premières années suivant l'arrivée d'un immigré.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Le programme 2026 des Écologistes consacre un chapitre aux libertés de migration et défend l’accueil, les droits fondamentaux et l’intégration, plutôt qu’un durcissement général des conditions de séjour et de nationalité. Pour Les Écologistes, sur Q57 (« L'accès à certaines prestations sociales devrait être beaucoup plus limité pendant les premières années suivant l'arrivée d'un immigré. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
58	Immigration / assimilation	La France devrait privilégier l'immigration économique qualifiée, même si cela signifie accueillir moins de personnes peu qualifiées.	0	1	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Position intermédiaire : Le programme 2026 des Écologistes consacre un chapitre aux libertés de migration et défend l’accueil, les droits fondamentaux et l’intégration, plutôt qu’un durcissement général des conditions de séjour et de nationalité. Pour Les Écologistes, sur Q58 (« La France devrait privilégier l'immigration économique qualifiée, même si cela signifie accueillir moins de personnes peu qualifiées. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	0	0			
60	Immigration / assimilation	La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas s'intégrer culturellement à la société française.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Le programme 2026 des Écologistes consacre un chapitre aux libertés de migration et défend l’accueil, les droits fondamentaux et l’intégration, plutôt qu’un durcissement général des conditions de séjour et de nationalité. Pour Les Écologistes, sur Q60 (« La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas… »), elle contredit presque entièrement le choix proposé : -3.	0	0			
61	Immigration / assimilation	Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que les lois françaises sont respectées.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Le programme 2026 des Écologistes consacre un chapitre aux libertés de migration et défend l’accueil, les droits fondamentaux et l’intégration, plutôt qu’un durcissement général des conditions de séjour et de nationalité. Pour Les Écologistes, sur Q61 (« Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que… »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
