qid	theme	question	score	confidence	source	justification
28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : La ligne associe sécurité renforcée, État de droit, prévention et protection de la cohésion sociale. Pour Danemark, sur Q28 (« Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : La ligne associe sécurité renforcée, État de droit, prévention et protection de la cohésion sociale. Pour Danemark, sur Q29 (« La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : Le gouvernement se présente comme très vert, accélère l’électrification et les renouvelables et accepte des instruments fiscaux et réglementaires. Pour Danemark, sur Q36 (« Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : Le gouvernement se présente comme très vert, accélère l’électrification et les renouvelables et accepte des instruments fiscaux et réglementaires. Pour Danemark, sur Q37 (« Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	-2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Désaccord net : Le programme place l’UE au cœur de la politique danoise et défend une Europe plus intégrée et capable d’agir, tout en conservant la monnaie danoise. Pour Danemark, sur Q39 (« La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
45	Fiscalité / patrimoine	Les très grandes fortunes devraient être imposées sur leur patrimoine mondial, même lorsqu'elles quittent la France.	-1	1	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Réserve : Le programme combine baisse de l’impôt sur les sociétés et de certains impôts supérieurs, soutien aux entreprises, plein emploi et renforcement de prestations universelles. Position peu explicite ou comparaison institutionnelle limitée.
46	Travail / chômage	Un chômeur devrait pouvoir perdre une partie significative de ses allocations s'il refuse plusieurs emplois raisonnablement adaptés à ses compétences.	2	3	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : Le programme combine baisse de l’impôt sur les sociétés et de certains impôts supérieurs, soutien aux entreprises, plein emploi et renforcement de prestations universelles. Position directement documentée.
51	Protection sociale	Les prestations sociales devraient être fortement conditionnées à la durée de cotisation et de participation au marché du travail.	2	3	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : Le programme combine baisse de l’impôt sur les sociétés et de certains impôts supérieurs, soutien aux entreprises, plein emploi et renforcement de prestations universelles. Position directement documentée.
53	État / entreprises	Une entreprise qui reçoit plusieurs milliards d'euros d'aides publiques devrait pouvoir être contrainte de limiter ses dividendes et les rémunérations de ses dirigeants tant que l'aide n'est pas remboursée.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : Le programme combine baisse de l’impôt sur les sociétés et de certains impôts supérieurs, soutien aux entreprises, plein emploi et renforcement de prestations universelles. Pour Danemark, sur Q53 (« Une entreprise qui reçoit plusieurs milliards d'euros d'aides publiques devrait pouvoir être contrainte de limiter ses dividendes et les rémunérations… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
54	État / entreprises	L'État devrait davantage utiliser son pouvoir d'actionnaire pour orienter les grandes entreprises françaises vers des objectifs industriels de long terme.	1	1	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord modéré : Le programme combine baisse de l’impôt sur les sociétés et de certains impôts supérieurs, soutien aux entreprises, plein emploi et renforcement de prestations universelles. Position peu explicite ou comparaison institutionnelle limitée.
60	Immigration / assimilation	La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas s'intégrer culturellement à la société française.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : Le gouvernement maintient une politique migratoire ferme, l’intégration et les retours, tout en respectant les conventions internationales et l’aide au développement. Pour Danemark, sur Q60 (« La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
61	Immigration / assimilation	Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que les lois françaises sont respectées.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : Le gouvernement maintient une politique migratoire ferme, l’intégration et les retours, tout en respectant les conventions internationales et l’aide au développement. Pour Danemark, sur Q61 (« Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
63	Libertés / sécurité	Pour lutter contre le terrorisme, l'État devrait pouvoir surveiller préventivement une personne considérée comme présentant un risque sérieux, même sans preuve suffisante pour engager des poursuites pénales.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : La ligne associe sécurité renforcée, État de droit, prévention et protection de la cohésion sociale. Pour Danemark, sur Q63 (« Pour lutter contre le terrorisme, l'État devrait pouvoir surveiller préventivement une personne considérée comme présentant un risque sérieux, même… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
69	Écologie	Il faut privilégier le nucléaire même si cela conduit à réduire certains investissements dans les renouvelables.	-2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Désaccord net : Le gouvernement se présente comme très vert, accélère l’électrification et les renouvelables et accepte des instruments fiscaux et réglementaires. Pour Danemark, sur Q69 (« Il faut privilégier le nucléaire même si cela conduit à réduire certains investissements dans les renouvelables. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
82	Santé / assurance maladie	L'Assurance maladie devrait rembourser intégralement les soins essentiels, quitte à réduire fortement le rôle des complémentaires santé.	3	3	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord très fort : Le Danemark conserve un État-providence largement financé par l’impôt et des services publics universels, tout en admettant écoles privées subventionnées et certains prestataires privés encadrés. Pour Danemark, sur Q82 (« L'Assurance maladie devrait rembourser intégralement les soins essentiels, quitte à réduire fortement le rôle des complémentaires santé. »), cette orientation reprend presque entièrement le choix proposé : +3.
84	Éducation / autonomie	Les chefs d'établissement scolaire devraient pouvoir recruter eux-même une partie de leurs enseignants et peser davantage dans leur évaluation.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : Le Danemark conserve un État-providence largement financé par l’impôt et des services publics universels, tout en admettant écoles privées subventionnées et certains prestataires privés encadrés. Pour Danemark, sur Q84 (« Les chefs d'établissement scolaire devraient pouvoir recruter eux-même une partie de leurs enseignants et peser davantage dans leur évaluation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
85	Éducation / mixité sociale	Le financement public des établissements privés sous contrat devrait être conditionné à des objectifs mesurables de mixité sociale.	1	1	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord modéré : Le Danemark conserve un État-providence largement financé par l’impôt et des services publics universels, tout en admettant écoles privées subventionnées et certains prestataires privés encadrés. Pour Danemark, sur Q85 (« Le financement public des établissements privés sous contrat devrait être conditionné à des objectifs mesurables de mixité sociale. »), elle incline dans ce sens sans adopter toute la proposition : +1.
86	Logement / locations touristiques	Dans les zones où le logement manque, une commune devrait pouvoir interdire la location touristique régulière d'un logement qui n'est pas la résidence principale de son propriétaire.	2	2	https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf	Accord net : Le Danemark conserve un État-providence largement financé par l’impôt et des services publics universels, tout en admettant écoles privées subventionnées et certains prestataires privés encadrés. Pour Danemark, sur Q86 (« Dans les zones où le logement manque, une commune devrait pouvoir interdire la location touristique régulière d'un logement qui n'est pas la résidence… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
87	Défense / Ukraine	La France devrait continuer à fournir une aide militaire et financière importante à l'Ukraine tant que son territoire reste occupé, même si la guerre se prolonge.	3	3	https://regeringen.dk/aktuelt/nyheder/2025/pressemoede-med-costa-von-der-leyen-og-zelenskyy-den-3-juli-2025/	Accord très fort : Le gouvernement Frederiksen maintient un soutien militaire et financier très important à l’Ukraine et pousse à une réponse européenne durable face à la Russie. Pour Danemark, sur Q87 (« La France devrait continuer à fournir une aide militaire et financière importante à l'Ukraine tant que son territoire reste occupé, même si la guerre… »), cette orientation reprend presque entièrement le choix proposé : +3.
89	Santé / fin de vie	Une personne majeure atteinte d'une maladie grave et incurable provoquant des souffrances insupportables devrait pouvoir recevoir une aide médicale à mourir dans un cadre strictement contrôlé.	0	1	https://regeringen.dk/aktuelt/statsministerens-aabningstale/statsministerens-aabningstale-2023/	Position intermédiaire : le vote, la loi ou la position gouvernementale sur l'aide à mourir fournit un équivalent direct ou très proche. Pour Danemark, sur Q89 (« Une personne majeure atteinte d'une maladie grave et incurable provoquant des souffrances insupportables devrait pouvoir recevoir une aide médicale à… »), elle ne tranche pas clairement l’arbitrage précis posé : 0.
93	Numérique / intelligence artificielle	Les administrations publiques devraient privilégier des modèles d'intelligence artificielle hébergés en Europe, même s'ils sont temporairement moins performants ou plus coûteux que leurs concurrents étrangers.	2	2	https://regeringen.dk/media/ohljoptp/digitaliseringspartnerskabets-rapport.pdf	Accord net : Le Danemark conserve un État-providence largement financé par l’impôt et des services publics universels, tout en admettant écoles privées subventionnées et certains prestataires privés encadrés. Pour Danemark, sur Q93 (« Les administrations publiques devraient privilégier des modèles d'intelligence artificielle hébergés en Europe, même s'ils sont temporairement moins… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
