qid	theme	question	coefficients
57	Immigration / assimilation	L'accès à certaines prestations sociales devrait être beaucoup plus limité pendant les premières années suivant l'arrivée d'un immigré.	{"economy":0,"authority":0,"europe":0,"ecology":0,"immigration":-0.7,"democracy":0}
58	Immigration / assimilation	La France devrait privilégier l'immigration économique qualifiée, même si cela signifie accueillir moins de personnes peu qualifiées.	{"economy":0,"authority":0,"europe":0,"ecology":0,"immigration":-0.2,"democracy":0}
59	Immigration / assimilation	Une personne née en France de parents étrangers devrait automatiquement devenir française à sa majorité si elle y a grandi, même si elle ne manifeste pas particulièrement d'attachement à la France.	{"economy":0,"authority":-0.2,"europe":0,"ecology":0,"immigration":0.6,"democracy":0}
60	Immigration / assimilation	La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas s'intégrer culturellement à la société française.	{"economy":0,"authority":0.5,"europe":0,"ecology":0,"immigration":-0.8,"democracy":0}
61	Immigration / assimilation	Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que les lois françaises sont respectées.	{"economy":0,"authority":-0.5,"europe":0,"ecology":0,"immigration":0.8,"democracy":0}
63	Libertés / sécurité	Pour lutter contre le terrorisme, l'État devrait pouvoir surveiller préventivement une personne considérée comme présentant un risque sérieux, même sans preuve suffisante pour engager des poursuites pénales.	{"economy":0,"authority":1,"europe":0,"ecology":0,"immigration":0,"democracy":0}
64	Libertés / expression	Une personne qui tient publiquement des propos profondément offensants mais qui n'appelle ni à la violence ni à commettre une infraction devrait être protégée par la liberté d'expression.	{"economy":0,"authority":-1,"europe":0,"ecology":0,"immigration":0,"democracy":0}
66	Sécurité	Lorsqu’un conducteur refuse d’obtempérer et prend la fuite, les policiers devraient pouvoir utiliser leur arme à feu même si le danger pour leur vie n’est pas immédiat.	{"economy":0,"authority":1,"europe":0,"ecology":0,"immigration":0,"democracy":0}
67	Écologie	Une taxe carbone qui réduit les émissions de CO₂ devrait être maintenue même si elle diminue le pouvoir d’achat des ménages modestes, à condition de compenser ces derniers par des aides ciblées.	{"economy":0,"authority":0,"europe":0,"ecology":0.8,"immigration":0,"democracy":0}
68	Écologie	La France devrait interdire progressivement la vente de voitures thermiques même si cela augmente temporairement le prix moyen des véhicules.	{"economy":0,"authority":0.2,"europe":0,"ecology":0.7,"immigration":0,"democracy":0}
69	Écologie	Il faut privilégier le nucléaire même si cela conduit à réduire certains investissements dans les renouvelables.	{"economy":0,"authority":0,"europe":0,"ecology":-0.7,"immigration":0,"democracy":0}
71	Écologie / croissance	Si la France pouvait réduire ses émissions de 20 % mais que cela réduisait son PIB de 3 %, alors que les autres pays ne faisaient aucun effort comparable, il faudrait quand même le faire.	{"economy":0,"authority":0,"europe":0,"ecology":1,"immigration":0,"democracy":0}
72	Institutions	Pour certaines décisions économiques complexes, il serait préférable de confier davantage de pouvoir à des institutions indépendantes composées d'experts plutôt qu'aux responsables politiques élus.	{"economy":0,"authority":0.2,"europe":0,"ecology":0,"immigration":0,"democracy":-1}
73	Institutions	Un gouvernement devrait pouvoir prendre une décision économiquement nécessaire mais très impopulaire sans chercher à obtenir l'approbation immédiate de la population.	{"economy":0,"authority":0.8,"europe":0,"ecology":0,"immigration":0,"democracy":-1}
74	Institutions	Le référendum devrait être beaucoup plus utilisé, même lorsque les citoyens votent sur des sujets dont ils maîtrisent mal les aspects techniques.	{"economy":0,"authority":-0.2,"europe":0,"ecology":0,"immigration":0,"democracy":0.8}
75	Institutions	Il serait acceptable de donner davantage de poids politique aux citoyens qui démontrent un niveau élevé de connaissance du fonctionnement des institutions et de l'économie.	{"economy":0,"authority":0.5,"europe":0,"ecology":0,"immigration":0,"democracy":-1}
76	Institutions	Le président de la République devrait disposer de davantage de pouvoirs pour pouvoir mettre en œuvre un programme pendant cinq ans sans être constamment bloqué par le Parlement.	{"economy":0,"authority":0.6,"europe":0,"ecology":0,"immigration":0,"democracy":-1}
77	Institutions	La proportionnelle intégrale serait préférable au système actuel, même si elle rendait plus fréquentes les coalitions et les gouvernements instables.	{"economy":0,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0.7}
78	Immigration / assimilation	Le droit de séjour durable en France devrait dépendre, sauf impossibilité particulière, d’efforts concrets pour apprendre le français, comprendre les règles et usages du pays et participer à la vie collective.	{"economy":0,"authority":0.3,"europe":0,"ecology":0,"immigration":-1,"democracy":0}
79	Immigration / délinquance	Les différences de délinquance observées s’expliquent davantage par les inégalités sociales et économiques que par la culture d’origine des personnes concernées.	{"economy":-0.3,"authority":0,"europe":0,"ecology":0,"immigration":0.5,"democracy":0}
80	Écologie / agriculture	La France devrait interdire aux agriculteurs l’usage d’un produit jugé trop polluant, même si cette interdiction les désavantage face à des concurrents étrangers qui peuvent encore l’utiliser.	{"economy":0,"authority":0.5,"europe":0,"ecology":1,"immigration":0,"democracy":0}
81	Santé / accès aux soins	Dans les zones où l'accès aux soins est insuffisant, l'Assurance maladie devrait pouvoir limiter le conventionnement de nouveaux médecins dans les zones déjà bien dotées afin d'encourager leur installation dans les déserts médicaux.	{"economy":-0.5,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
82	Santé / assurance maladie	L'Assurance maladie devrait rembourser intégralement les soins essentiels, quitte à réduire fortement le rôle des complémentaires santé.	{"economy":-1,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
83	Santé / hôpital	Il faut accepter de fermer ou regrouper certaines petites maternités et certains services d'urgence afin de concentrer les équipes et les équipements dans des établissements plus importants.	{"economy":0.3,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":-0.3}
84	Éducation / autonomie	Les chefs d'établissement scolaire devraient pouvoir recruter eux-même une partie de leurs enseignants et peser davantage dans leur évaluation.	{"economy":0.5,"authority":0.2,"europe":0,"ecology":0,"immigration":0,"democracy":0}
85	Éducation / mixité sociale	Le financement public des établissements privés sous contrat devrait être conditionné à des objectifs mesurables de mixité sociale.	{"economy":-0.5,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
86	Logement / locations touristiques	Dans les zones où le logement manque, une commune devrait pouvoir interdire la location touristique régulière d'un logement qui n'est pas la résidence principale de son propriétaire.	{"economy":-0.6,"authority":0.5,"europe":0,"ecology":0,"immigration":0,"democracy":0}
87	Défense / Ukraine	La France devrait continuer à fournir une aide militaire et financière importante à l'Ukraine tant que son territoire reste occupé, même si la guerre se prolonge.	{"economy":0,"authority":0.2,"europe":0.4,"ecology":0,"immigration":0,"democracy":0}
88	Défense / dissuasion nucléaire	La dissuasion nucléaire française devrait aussi protéger les partenaires européens, tout en laissant à la France seule la décision finale de l'employer.	{"economy":0,"authority":0.2,"europe":0.8,"ecology":0,"immigration":0,"democracy":0}
89	Santé / fin de vie	Une personne majeure atteinte d'une maladie grave et incurable provoquant des souffrances insupportables devrait pouvoir recevoir une aide médicale à mourir dans un cadre strictement contrôlé.	{"economy":0,"authority":-0.8,"europe":0,"ecology":0,"immigration":0,"democracy":0}
90	Dépendance / EHPAD	Les groupes privés à but lucratif ne devraient plus pouvoir gérer d'EHPAD. Les établissements existants devraient progressivement devenir publics ou non lucratifs.	{"economy":-0.9,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
91	Famille / prestations	Les allocations familiales devraient être versées à toutes les familles selon le nombre d'enfants, sans diminuer lorsque les revenus augmentent.	{"economy":-0.5,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
92	Numérique / mineurs	L'accès aux réseaux sociaux devrait être interdit aux moins de 15 ans, même avec l'accord de leurs parents.	{"economy":0,"authority":0.9,"europe":0,"ecology":0,"immigration":0,"democracy":0}
93	Numérique / intelligence artificielle	Les administrations publiques devraient privilégier des modèles d'intelligence artificielle hébergés en Europe, même s'ils sont temporairement moins performants ou plus coûteux que leurs concurrents étrangers.	{"economy":-0.2,"authority":0,"europe":0.4,"ecology":0,"immigration":0,"democracy":0}
