party	qid	score	confidence	source	justification
pcf	43	-3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
pcf	45	2	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
pcf	64	2	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
pcf	78	-1	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
les-ecologistes	32	3	3	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
les-ecologistes	34	-1	1	https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet	La fiscalité écologiste privilégie la progressivité et la justice sociale ; une hausse de TVA est peu cohérente avec cette ligne. Aucune position officielle récente trouvée sur ce mécanisme précis : -1, confiance 1.
les-ecologistes	35	-1	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Réserve : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
les-ecologistes	43	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
les-ecologistes	45	2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
les-ecologistes	64	2	2	https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
les-ecologistes	78	-1	2	https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ps	32	3	2	https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ps	34	-2	2	https://www.parti-socialiste.fr/unir_pour_un_programme_fiscal_socialiste_ambitieux_juste_et_cr_dible	Le PS critique le déplacement du financement vers les impôts sur la consommation et défend un financement social plus progressif. Opposition nette, mais pas une interdiction absolue du mécanisme dans toutes ses variantes.
ps	35	0	2	https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/	Position équilibrée ou non tranchée : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ps	43	-2	3	https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/	Désaccord net : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ps	45	2	2	https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ps	64	2	2	https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ps	78	1	2	https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne	Accord modéré : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
renaissance	32	2	2	https://parti-renaissance.fr/	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
renaissance	34	1	2	https://www.elysee.fr/emmanuel-macron/2025/05/13/les-defis-de-la-france-interview-du-president-emmanuel-macron-sur-tf1	Accord modéré : Emmanuel Macron estime que le financement de la protection sociale repose trop sur le travail et cite la consommation parmi les assiettes alternatives possibles. Mais, interrogé explicitement sur une TVA sociale, il n'a pas endossé cette solution précise. Renaissance est donc orienté vers un transfert partiel hors des cotisations sur les salaires, sans avoir clairement accepté la hausse de TVA et le renchérissement des biens et services décrits par la question ; +1 est plus adapté que +2.
renaissance	35	2	2	https://parti-renaissance.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
renaissance	43	1	2	https://parti-renaissance.fr/	Accord modéré : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
renaissance	45	0	2	https://parti-renaissance.fr/	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
renaissance	64	1	1	https://parti-renaissance.fr/	Accord modéré : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
renaissance	78	3	2	https://parti-renaissance.fr/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
modem	32	2	2	https://www.mouvementdemocrate.fr/vers-une-transition-ecologique-solidaire-7925	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
modem	34	1	3	https://www.mouvementdemocrate.fr/nos-parlementaires/delphine-lingemann-comment-continuer-financer-notre-modele-social-sans-faire	Accord modéré : François Bayrou souhaite alléger le financement de la protection sociale pesant sur le travail et n'écarte pas un transfert vers la TVA, mais il n'en fait pas une mesure ferme ; +1 reflète cette orientation prudente.
modem	35	1	2	https://www.mouvementdemocrate.fr/vers-une-transition-ecologique-solidaire-7925	Accord modéré : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
modem	43	0	2	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
modem	45	1	2	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Accord modéré : codage cohérent avec la ligne programmatique générale du parti sur fiscalité / patrimoine.
modem	64	2	2	https://www.mouvementdemocrate.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
modem	78	2	2	https://www.mouvementdemocrate.fr/	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
horizons	32	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
horizons	34	1	1	https://horizonsleparti.fr/le-manifeste/	Horizons souhaite alléger le coût du travail et renforcer la compétitivité, mais aucune proposition officielle précise de TVA sociale n’a été retrouvée. Tendance faiblement favorable : +1, confiance 1.
horizons	35	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
horizons	43	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
horizons	45	-1	2	https://horizonsleparti.fr/le-manifeste/	Réserve : codage cohérent avec la ligne programmatique générale du parti sur fiscalité / patrimoine.
horizons	64	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
horizons	78	3	2	https://horizonsleparti.fr/le-manifeste/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
france-humaniste	32	2	2	https://lafrancehumaniste.fr/articles/pourquoi-je-suis-ecogaulliste.html	Accord fort : l’urgence climatique et la priorité d’agir sont explicites, sans arbitrage chiffré direct avec la croissance de court terme.
france-humaniste	34	2	1	https://lafrancehumaniste.fr/	Accord net : Dominique de Villepin propose de réduire les charges patronales et de transférer progressivement une partie du financement vers la consommation et les bénéfices ; c'est proche d'une TVA sociale sans être strictement identique, d'où +2.
france-humaniste	35	-2	3	https://lafrancehumaniste.fr/articles/pourquoi-je-suis-ecogaulliste.html	Désaccord net : l’écogaullisme rétablit l’autorité publique et la planification plutôt que de faire reposer principalement l’écologie sur le marché ; il conserve néanmoins un prix du carbone.
france-humaniste	43	-2	3	https://www.leparisien.fr/economie/dominique-de-villepin-favorable-a-la-taxe-zucman-et-a-un-retour-de-lisf-mais-en-etant-adaptes-25-09-2025-FTHAWTNDLFEJPGKRE35S5YJ6JQ.php	Désaccord net : Dominique de Villepin s’est déclaré directement favorable au retour d’un ISF adapté et à une taxation minimale des très hauts patrimoines, à l’opposé de la suppression de l’IFI.
france-humaniste	45	1	1	https://lafrancehumaniste.fr/articles/le-sursaut-budgetaire.html	Accord modéré et prudent : Dominique de Villepin défend une contribution accrue des très hauts patrimoines et s'est montré favorable au principe d'une taxation minimale des grandes fortunes. En revanche, aucune position suffisamment précise n'établit qu'il souhaite maintenir une imposition française du patrimoine mondial après l'expatriation ; l'accord est donc limité à +1.
france-humaniste	64	2	3	https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html	Accord net : codage fondé sur les documents officiels retenus pour le thème « Libertés / expression ». Niveau de preuve : position ou mesure explicitement documentée.
france-humaniste	78	3	3	https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html	Accord fort : la politique proposée repose explicitement sur une intégration renforcée par la langue, la formation, le respect des règles et la participation, dans la continuité du contrat d'accueil et d'intégration porté par Villepin.
lr	32	1	2	https://republicains.fr/nos-idees/	Accord modéré : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
lr	34	1	2	https://republicains.fr/actualites/2025/05/19/gerard-larcher-bruno-retailleau-a-fait-naitre-un-nouvel-espoir-quil-sagit-maintenant-de-transformer/	Gérard Larcher présente explicitement la TVA sociale comme une piste à examiner pour agir sur salaire net et compétitivité, sans en faire une proposition arrêtée. Faible accord : +1.
lr	35	2	2	https://republicains.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
lr	43	3	2	https://republicains.fr/nos-idees/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
lr	45	-2	2	https://republicains.fr/nos-idees/	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
lr	64	2	2	https://republicains.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
lr	78	3	2	https://republicains.fr/nos-idees/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
nouvelle-energie	32	0	2	https://www.unenouvelleenergie.fr/notre-programme/	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
nouvelle-energie	34	1	3	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Le programme décrit exactement une TVA « compétitivité/relocalisation » accompagnée d’une baisse des charges, mais précise que la question n’est pas tranchée. Tendance favorable seulement : +1, avec confiance documentaire 3.
nouvelle-energie	35	3	2	https://www.unenouvelleenergie.fr/notre-programme/	Accord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
nouvelle-energie	43	3	2	https://www.unenouvelleenergie.fr/notre-programme/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
nouvelle-energie	45	-1	3	https://www.unenouvelleenergie.fr/taxe-zucman-les-francais-meritent-mieux-que-des-illusions-fiscales/	Désaccord modéré : Nouvelle Énergie, notamment par David Lisnard, rejette la taxe Zucman sur les très hauts patrimoines et met en avant le risque de fuite des capitaux et des contribuables, ce qui va à l'encontre d'une taxation française maintenue après expatriation. Aucune proposition ne traite toutefois directement d'une imposition du patrimoine mondial après le départ de France ; le désaccord est donc limité à -1.
nouvelle-energie	64	2	2	https://www.unenouvelleenergie.fr/notre-programme/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
nouvelle-energie	78	3	3	https://www.unenouvelleenergie.fr/notre-programme/immigration/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
udr	32	0	1	https://www.udr.fr/	Position neutre, partagée ou non arrêtée : codage fondé sur les documents officiels retenus pour le thème « Écologie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
udr	34	0	2	https://www.udr.fr/livretacteii	L’UDR veut fortement réduire les prélèvements sur le travail mais privilégie le financement par baisse des dépenses et ne défend pas explicitement une hausse de TVA. Position neutre sur le mécanisme précis.
udr	35	2	1	https://www.udr.fr/	Accord net : codage fondé sur les documents officiels retenus pour le thème « Écologie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
udr	43	3	3	https://www.udr.fr/grandforumlibertes	Accord fort : l'UDR défend explicitement la suppression de l'IFI dans ses propositions économiques, ce qui correspond directement à la question.
udr	45	-2	1	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « Fiscalité / patrimoine ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
udr	64	2	1	https://www.udr.fr/	Accord net : codage fondé sur les documents officiels retenus pour le thème « Libertés / expression ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
udr	78	2	2	https://www.assemblee-nationale.fr/dyn/opendata/PNREANR5L17B1609.html	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
rn	32	0	2	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
rn	34	-1	1	https://rassemblementnational.fr/conferences-de-presse/pouvoir-achat-conference-de-presse-de-marine-le-pen	Le RN privilégie historiquement la baisse de TVA sur l’énergie et les produits essentiels et met fortement l’accent sur le pouvoir d’achat. Cela rend une hausse de TVA plutôt contraire à sa ligne, mais aucune position récente exacte sur la TVA sociale n’a été trouvée : -1.
rn	35	1	1	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Accord modéré : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
rn	43	2	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
rn	45	-1	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
rn	64	2	2	https://municipales2026.rassemblementnational.fr/communiques/opinion-minoritaire-sur-le-rapport-relatif-au-bouclier-democratique-europeen-euds	Accord net : des prises de position récentes du RN au Parlement européen dénoncent explicitement des dispositifs jugés susceptibles de restreindre la liberté d’expression ; la protection de tout propos offensant non illégal n’est toutefois pas formulée de façon aussi générale.
rn	78	3	2	https://rassemblementnational.fr/livrets-thematiques	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
reconquete	32	0	2	https://www.parti-reconquete.fr/	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
reconquete	34	0	1	https://www.parti-reconquete.fr/	Reconquête défend une baisse du coût du travail et des prélèvements, mais aucune proposition suffisamment précise de transfert vers la TVA n’a été retrouvée. Score neutre par prudence.
reconquete	35	2	1	https://www.parti-reconquete.fr/	Accord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
reconquete	43	2	2	https://www.parti-reconquete.fr/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
reconquete	45	-2	2	https://www.parti-reconquete.fr/	Désaccord net : Reconquête s'oppose à l'extension extraterritoriale durable de l'impôt français et défend une baisse de la fiscalité du capital ; la question va dans le sens inverse, sans preuve suffisante pour retenir -3.
reconquete	64	3	1	https://www.parti-reconquete.fr/	Accord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
reconquete	78	3	2	https://www.parti-reconquete.fr/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
