entityType	entity	qid	theme	question	response	confidence	justification	source
party	LFI	23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	-3	3	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	-2	2	Désaccord net : LFI s’oppose à une politique d’expulsion beaucoup plus stricte des étrangers condamnés et critique la logique de double peine, tout en laissant une marge pour les situations criminelles les plus graves : -2.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	3	3	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	-2	2	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	3	2	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	30	Agriculture / commerce	La France devrait pouvoir interdire l’importation de produits agricoles fabriqués selon des normes qu’elle interdit à ses propres agriculteurs, même si cela faisait disparaître des rayons les produits alimentaires les moins chers.	2	3	Accord net : LFI défend des interdictions et clauses de sauvegarde contre les importations produites selon des normes interdites en France, mais cherche parallèlement à contenir les prix alimentaires ; l'acceptation explicite du surcoût pour le consommateur n'est pas suffisamment établie pour retenir +3.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-4-faire-la-planification-ecologique-europeenne/
party	LFI	32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	3	2	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	33	Écologie	Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique.	2	2	Accord net : codage cohérent avec la ligne programmatique générale du parti sur écologie.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	34	Economie	Une partie des cotisations sociales sur les salaires devrait être remplacée par une hausse de la TVA afin d’augmenter les salaires nets et de réduire le coût du travail, même si cela augmente le prix des biens et services consommés	-2	2	LFI rejette le transfert du financement social vers des taxes sur la consommation et les baisses de cotisations qui fragilisent la Sécurité sociale. Opposition nette, sans source proposant mot pour mot la TVA sociale : -2.	https://lafranceinsoumise.fr/budget-lecornu-2026-une-saignee-sociale/
party	LFI	35	Écologie	Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions.	-3	2	Désaccord fort : LFI privilégie la planification écologique, la réglementation et des interdictions ciblées plutôt qu'une politique reposant principalement sur les mécanismes de marché comme la taxe carbone.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	3	2	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur écologie.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	3	2	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	38	Europe	La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique.	-1	2	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf
party	LFI	39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	2	2	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf
party	LFI	40	Europe	L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique.	0	2	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf
party	LFI	41	Europe	L'Union européenne devrait pouvoir imposer davantage de règles communes aux États membres.	0	2	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf
party	LFI	42	Europe	En cas de conflit entre les intérêts économiques français et les règles européennes, la France devrait pouvoir désobéir à certaines règles européennes.	3	2	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf
party	LFI	43	Fiscalité / patrimoine	Il faudrait supprimer l'IFI et ne plus taxer spécifiquement le patrimoine immobilier au-delà de la fiscalité ordinaire.	-3	3	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/
party	LFI	44	Fiscalité / patrimoine	L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins de patrimoine à leurs enfants.	2	2	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	45	Fiscalité / patrimoine	Les très grandes fortunes devraient être imposées sur leur patrimoine mondial, même lorsqu'elles quittent la France.	2	2	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	46	Travail / chômage	Un chômeur devrait pouvoir perdre une partie significative de ses allocations s'il refuse plusieurs emplois raisonnablement adaptés à ses compétences.	-2	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	47	Outre-mer / vie chère	L’État devrait garantir que les produits essentiels ne coûtent pas beaucoup plus cher dans les DOM/TOM que dans l’Hexagone, quitte à subventionner durablement leur transport ou leur prix avec l’argent public national.	3	3	LFI défend une continuité économique et une péréquation nationale visant à neutraliser les surcoûts ultramarins, y compris par des financements publics : accord maximal avec le principe.	https://lafranceinsoumise.fr/2025/11/05/niche-2025-egalite-dacces-au-service-public-postal-en-outre-mer/
party	LFI	48	Travail / chômage	Le CDI protège trop fortement les salariés déjà en poste et peut rendre plus difficile l’accès à l’emploi stable, au détriment des jeunes, chômeurs ou travailleurs en contrats précaires.	-2	1	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	49	Retraites	Les retraites devraient être progressivement réformées vers un système combinant répartition et capitalisation, même si cela implique une période de transition coûteuse.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	50	Retraites	L'âge légal de départ à la retraite devrait être automatiquement indexé sur l'espérance de vie nationale.	-3	2	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/
party	LFI	51	Protection sociale	Les prestations sociales devraient être fortement conditionnées à la durée de cotisation et de participation au marché du travail.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	53	État / entreprises	Une entreprise qui reçoit plusieurs milliards d'euros d'aides publiques devrait pouvoir être contrainte de limiter ses dividendes et les rémunérations de ses dirigeants tant que l'aide n'est pas remboursée.	3	3	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	54	État / entreprises	L'État devrait davantage utiliser son pouvoir d'actionnaire pour orienter les grandes entreprises françaises vers des objectifs industriels de long terme.	3	2	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/
party	LFI	55	État / entreprises	Il faudrait réduire fortement les normes administratives pesant sur les entreprises, même si certaines protections environnementales ou sociales deviennent moins strictes.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	56	Immigration / régularisation	Un étranger en situation irrégulière qui travaille de façon stable en France depuis plusieurs années et n’a commis aucun délit devrait pouvoir être régularisé, même s’il est entré ou est resté sur le territoire sans autorisation.	3	3	Accord fort : LFI demande explicitement la régularisation de l’ensemble des travailleurs et travailleuses sans papiers ; la situation décrite par la question entre directement dans cette proposition.	https://lafranceinsoumise.fr/2025/11/07/journee-internationale-des-migrants-la-france-insoumise-appelle-a-la-marche-des-solidarites/
party	LFI	57	Immigration / assimilation	L'accès à certaines prestations sociales devrait être beaucoup plus limité pendant les premières années suivant l'arrivée d'un immigré.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	58	Immigration / assimilation	La France devrait privilégier l'immigration économique qualifiée, même si cela signifie accueillir moins de personnes peu qualifiées.	-1	1	Réserve : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	59	Immigration / assimilation	Une personne née en France de parents étrangers devrait automatiquement devenir française à sa majorité si elle y a grandi, même si elle ne manifeste pas particulièrement d'attachement à la France.	3	2	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	60	Immigration / assimilation	La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas s'intégrer culturellement à la société française.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	61	Immigration / assimilation	Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que les lois françaises sont respectées.	3	2	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	63	Libertés / sécurité	Pour lutter contre le terrorisme, l'État devrait pouvoir surveiller préventivement une personne considérée comme présentant un risque sérieux, même sans preuve suffisante pour engager des poursuites pénales.	-1	2	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	64	Libertés / expression	Une personne qui tient publiquement des propos profondément offensants mais qui n'appelle ni à la violence ni à commettre une infraction devrait être protégée par la liberté d'expression.	2	2	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	66	Sécurité	Lorsqu’un conducteur refuse d’obtempérer et prend la fuite, les policiers devraient pouvoir utiliser leur arme à feu même si le danger pour leur vie n’est pas immédiat.	-3	3	Désaccord fort : LFI demande l’abrogation de l’article L. 435-1 du code de la sécurité intérieure et le retour à une doctrine d’usage des armes strictement nécessaire et proportionnée.	https://lafranceinsoumise.fr/2023/11/06/abrogation-de-la-loi-cazeneuve-de-2017/
party	LFI	67	Écologie	Une taxe carbone qui réduit les émissions de CO₂ devrait être maintenue même si elle diminue le pouvoir d’achat des ménages modestes, à condition de compenser ces derniers par des aides ciblées.	-1	2	Désaccord modéré : LFI refuse que la transition écologique se traduise par une hausse du coût de l'énergie supportée par les ménages ; la compensation ciblée prévue par la question atténue toutefois ce désaccord.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	68	Écologie	La France devrait interdire progressivement la vente de voitures thermiques même si cela augmente temporairement le prix moyen des véhicules.	3	2	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	69	Écologie	Il faut privilégier le nucléaire même si cela conduit à réduire certains investissements dans les renouvelables.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	71	Écologie / croissance	Si la France pouvait réduire ses émissions de 20 % mais que cela réduisait son PIB de 3 %, alors que les autres pays ne faisaient aucun effort comparable, il faudrait quand même le faire.	2	1	Accord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	72	Institutions	Pour certaines décisions économiques complexes, il serait préférable de confier davantage de pouvoir à des institutions indépendantes composées d'experts plutôt qu'aux responsables politiques élus.	-2	2	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	73	Institutions	Un gouvernement devrait pouvoir prendre une décision économiquement nécessaire mais très impopulaire sans chercher à obtenir l'approbation immédiate de la population.	0	1	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	74	Institutions	Le référendum devrait être beaucoup plus utilisé, même lorsque les citoyens votent sur des sujets dont ils maîtrisent mal les aspects techniques.	2	2	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	75	Institutions	Il serait acceptable de donner davantage de poids politique aux citoyens qui démontrent un niveau élevé de connaissance du fonctionnement des institutions et de l'économie.	-2	1	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	76	Institutions	Le président de la République devrait disposer de davantage de pouvoirs pour pouvoir mettre en œuvre un programme pendant cinq ans sans être constamment bloqué par le Parlement.	-3	2	Désaccord fort : LFI veut rompre avec l'hyperprésidentialisme de la Ve République, réduire les pouvoirs du président et renforcer le Parlement ; c'est l'opposé direct de la proposition.	https://lafranceinsoumise.fr/
party	LFI	77	Institutions	La proportionnelle intégrale serait préférable au système actuel, même si elle rendait plus fréquentes les coalitions et les gouvernements instables.	3	2	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
party	LFI	78	Immigration / assimilation	Le droit de séjour durable en France devrait dépendre, sauf impossibilité particulière, d’efforts concrets pour apprendre le français, comprendre les règles et usages du pays et participer à la vie collective.	0	2	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	79	Immigration / délinquance	Les différences de délinquance observées s’expliquent davantage par les inégalités sociales et économiques que par la culture d’origine des personnes concernées.	3	2	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
party	LFI	80	Écologie / agriculture	La France devrait interdire aux agriculteurs l’usage d’un produit jugé trop polluant, même si cette interdiction les désavantage face à des concurrents étrangers qui peuvent encore l’utiliser.	3	3	Accord fort : LFI s’oppose explicitement à la réautorisation de l’acétamipride malgré les arguments de compétitivité agricole et qualifie ce néonicotinoïde de poison au regard de ses risques sanitaires et environnementaux.	https://lafranceinsoumise.fr/2026/05/05/halte-aux-magouilles-entre-la-droite-et-le-rn-pour-reautoriser-en-douce-un-poison/
party	LFI	81	Santé / accès aux soins	Dans les zones où l'accès aux soins est insuffisant, l'Assurance maladie devrait pouvoir limiter le conventionnement de nouveaux médecins dans les zones déjà bien dotées afin d'encourager leur installation dans les déserts médicaux.	3	3	Accord fort : le scrutin sur la régulation du conventionnement médical fournit la position parlementaire la plus proche ; pour les formations non représentées, le codage est déduit de leur ligne sur la liberté d'installation. Niveau de preuve : preuve directe ou politique explicitement documentée.	https://www.assemblee-nationale.fr/dyn/17/scrutins/1214
party	LFI	82	Santé / assurance maladie	L'Assurance maladie devrait rembourser intégralement les soins essentiels, quitte à réduire fortement le rôle des complémentaires santé.	3	3	Accord fort : le programme de santé retenu permet d'estimer la place accordée à l'assurance publique et aux complémentaires. Niveau de preuve : preuve directe ou politique explicitement documentée.	https://lafranceinsoumise.fr/wp-content/uploads/2018/10/LIVRET-ContreBudget-1.pdf
party	LFI	83	Santé / hôpital	Il faut accepter de fermer ou regrouper certaines petites maternités et certains services d'urgence afin de concentrer les équipes et les équipements dans des établissements plus importants.	-3	2	Désaccord fort : le document retenu permet d'arbitrer entre maintien de la proximité hospitalière et concentration des moyens. Niveau de preuve : faisceau d’indices cohérent, sans équivalent toujours parfaitement identique.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
