bucket	category	entity_id	entity	qid	score	confidence	source	justification
ORI	party	les-ecologistes	Les Écologistes	5	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	les-ecologistes	Les Écologistes	6	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	les-ecologistes	Les Écologistes	7	2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	les-ecologistes	Les Écologistes	8	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	les-ecologistes	Les Écologistes	9	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	les-ecologistes	Les Écologistes	10	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	les-ecologistes	Les Écologistes	12	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	les-ecologistes	Les Écologistes	13	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	les-ecologistes	Les Écologistes	16	1	2	https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet	Accord modéré : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	les-ecologistes	Les Écologistes	20	-3	3	https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	les-ecologistes	Les Écologistes	21	2	2	https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	les-ecologistes	Les Écologistes	23	-3	3	https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	les-ecologistes	Les Écologistes	25	-3	2	https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
