count	justification	examples
17	Accord modéré : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	PS|Q78|1|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || Renaissance|Q20|1|https://parti-renaissance.fr/ || Renaissance|Q23|1|https://parti-renaissance.fr/ || Renaissance|Q25|1|https://parti-renaissance.fr/ || Renaissance|Q27|1|https://parti-renaissance.fr/ || Renaissance|Q43|1|https://parti-renaissance.fr/ || Renaissance|Q57|1|https://parti-renaissance.fr/ || Renaissance|Q60|1|https://parti-renaissance.fr/ || Renaissance|Q79|1|https://parti-renaissance.fr/ || MoDem|Q1|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || MoDem|Q29|1|https://www.mouvementdemocrate.fr/ || MoDem|Q63|1|https://www.mouvementdemocrate.fr/
16	Accord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	LFI|Q71|2|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || Renaissance|Q61|2|https://parti-renaissance.fr/ || Horizons|Q2|2|https://horizonsleparti.fr/le-manifeste/ || Horizons|Q50|2|https://horizonsleparti.fr/le-manifeste/ || Horizons|Q72|2|https://horizonsleparti.fr/le-manifeste/ || Horizons|Q73|2|https://horizonsleparti.fr/le-manifeste/ || LR|Q13|2|https://republicains.fr/nos-idees/ || RN|Q54|2|https://rassemblementnational.fr/documents/202406-programme.pdf || Reconquête|Q2|2|https://www.parti-reconquete.fr/ || Reconquête|Q6|2|https://www.parti-reconquete.fr/ || Reconquête|Q8|2|https://www.parti-reconquete.fr/ || Reconquête|Q13|2|https://www.parti-reconquete.fr/
15	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	LFI|Q73|0|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || PCF|Q73|0|https://www.pcf.fr/feuille_de_route_confnat_pcf || Les Écologistes|Q58|0|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || Les Écologistes|Q73|0|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || PS|Q73|0|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || Renaissance|Q71|0|https://parti-renaissance.fr/ || MoDem|Q2|0|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || Horizons|Q71|0|https://horizonsleparti.fr/le-manifeste/ || LR|Q37|0|https://republicains.fr/nos-idees/ || Nouvelle Énergie|Q37|0|https://www.unenouvelleenergie.fr/notre-programme/ || RN|Q6|0|https://rassemblementnational.fr/documents/202406-programme.pdf || RN|Q8|0|https://rassemblementnational.fr/documents/202406-programme.pdf
13	Accord modéré : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	LFI|Q16|2|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q93|1|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q16|1|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || Les Écologistes|Q16|1|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || Renaissance|Q13|1|https://parti-renaissance.fr/ || MoDem|Q8|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || MoDem|Q35|1|https://www.mouvementdemocrate.fr/vers-une-transition-ecologique-solidaire-7925 || MoDem|Q50|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || MoDem|Q76|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || LR|Q28|1|https://republicains.fr/ || Nouvelle Énergie|Q21|1|https://www.unenouvelleenergie.fr/notre-programme/ || Nouvelle Énergie|Q54|1|https://www.unenouvelleenergie.fr/notre-programme/
12	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	PCF|Q2|-2|https://www.pcf.fr/feuille_de_route_confnat_pcf || PCF|Q35|-2|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || Les Écologistes|Q6|-2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q8|-2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q13|-2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q50|-2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q76|-2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || PS|Q13|-2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || Renaissance|Q16|-2|https://parti-renaissance.fr/ || LR|Q16|-2|https://republicains.fr/ || Nouvelle Énergie|Q61|-2|https://www.unenouvelleenergie.fr/notre-programme/ || UDR|Q21|-2|https://www.assemblee-nationale.fr/dyn/opendata/PNREANR5L17B1609.html
11	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	LFI|Q9|-3|https://lafranceinsoumise.fr/ || LFI|Q20|-3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q23|-3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q43|-3|https://lafranceinsoumise.fr/ || PCF|Q9|-3|https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf || PCF|Q20|-3|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || PCF|Q43|-3|https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf || Les Écologistes|Q20|-3|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || Les Écologistes|Q23|-3|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || UDR|Q44|-3|https://www.udr.fr/priorites || UDR|Q59|-3|https://www.udr.fr/priorites
11	Accord fort : le vote ou la politique officielle sur le soutien durable à l'Ukraine constitue l'indicateur principal. Niveau de preuve : preuve directe ou politique explicitement documentée.	Les Écologistes|Q87|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/988 || PS|Q87|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/988 || Renaissance|Q87|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/988 || MoDem|Q87|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/988 || Horizons|Q87|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/988 || LR|Q87|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/988 || Allemagne|Q87|3|https://www.bundesregierung.de/breg-de/aktuelles/rede-kanzler-deutsch-ukrainisches-wirtschaftsforum-2399660 || Espagne|Q87|3|https://www.lamoncloa.gob.es/presidente/actividades/paginas/2026/200226-sanchez-seminario-desigualdad.aspx || Finlande|Q87|3|https://valtioneuvosto.fi/en/-/236553176/finland-to-fund-additional-eur-40-million-purl-package-for-ukraine || Royaume-Uni|Q87|3|https://www.gov.uk/government/news/unbreakable-bond-between-uk-and-ukraine-will-continue-under-my-government-26-july-2026 || Danemark|Q87|3|https://regeringen.dk/aktuelt/nyheder/2025/pressemoede-med-costa-von-der-leyen-og-zelenskyy-den-3-juli-2025/
10	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur social / société.	LFI|Q14|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q17|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || Les Écologistes|Q14|3|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || Les Écologistes|Q17|3|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || PS|Q14|3|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || PS|Q17|3|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || LR|Q19|3|https://republicains.fr/nos-idees/ || Nouvelle Énergie|Q19|3|https://www.unenouvelleenergie.fr/notre-programme/ || RN|Q19|3|https://rassemblementnational.fr/livrets-thematiques || Reconquête|Q19|3|https://www.parti-reconquete.fr/
10	Réserve : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	LFI|Q58|-1|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q48|-2|https://www.pcf.fr/feuille_de_route_confnat_pcf || Les Écologistes|Q72|-1|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || PS|Q48|-1|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q72|-1|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || LR|Q61|-1|https://republicains.fr/nos-idees/ || Nouvelle Énergie|Q71|-1|https://www.unenouvelleenergie.fr/notre-programme/ || RN|Q48|-1|https://rassemblementnational.fr/documents/202406-programme.pdf || RN|Q72|-1|https://rassemblementnational.fr/documents/202406-programme.pdf || Reconquête|Q72|-1|https://www.parti-reconquete.fr/
9	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	LFI|Q28|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q37|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q54|3|https://lafranceinsoumise.fr/ || LFI|Q61|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q37|3|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || PCF|Q61|3|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || Les Écologistes|Q37|3|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q54|2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q61|3|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet
8	Accord net : codage cohérent avec la ligne programmatique générale du parti sur écologie.	LFI|Q33|2|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q33|2|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || PS|Q33|2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q36|2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || MoDem|Q36|2|https://www.mouvementdemocrate.fr/vers-une-transition-ecologique-solidaire-7925 || MoDem|Q67|2|https://www.mouvementdemocrate.fr/vers-une-transition-ecologique-solidaire-7925 || MoDem|Q68|2|https://www.mouvementdemocrate.fr/vers-une-transition-ecologique-solidaire-7925 || Horizons|Q67|2|https://horizonsleparti.fr/le-manifeste/
8	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.	Allemagne|Q2|1|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q6|1|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q12|1|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q13|1|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q48|1|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q50|1|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q53|1|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q54|1|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970
7	Réserve : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	LFI|Q2|-1|https://lafranceinsoumise.fr/ || Les Écologistes|Q2|-1|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q35|-1|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || PS|Q6|-1|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q8|-1|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || MoDem|Q82|-1|https://www.mouvementdemocrate.fr/ || LFH|Q66|-1|https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html
