qid	theme	question	LFI_score	LFI_conf	PCF_score	PCF_conf	Les Écologistes_score	Les Écologistes_conf	PS_score	PS_conf	Renaissance_score	Renaissance_conf	MoDem_score	MoDem_conf	Horizons_score	Horizons_conf	LFH_score	LFH_conf	LR_score	LR_conf	Nouvelle Énergie_score	Nouvelle Énergie_conf	UDR_score	UDR_conf	RN_score	RN_conf	Reconquête_score	Reconquête_conf	Allemagne_score	Allemagne_conf	Espagne_score	Espagne_conf	Suisse_score	Suisse_conf	Finlande_score	Finlande_conf	Royaume-Uni_score	Royaume-Uni_conf	Danemark_score	Danemark_conf	Pays-Bas_score	Pays-Bas_conf	Pologne_score	Pologne_conf
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	3	3	3	3	3	2	2	2	0	2	1	2	0	2	1	3	-1	2	-2	2	-2	2	2	2	-2	2	1	2	2	3	0	2	-1	2	1	3	1	2	1	1	1	1
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-3	2	-3	2	-2	2	-2	2	1	2	1	1	2	2	-2	3	2	1	3	3	3	2	0	1	2	1	1	2	-2	2	2	2	2	2	-1	2	-1	2	1	1	0	1
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	3	2	2	2	3	2	3	2	2	2	2	2	1	2	2	2	-1	2	0	2	-2	1	-2	3	-2	3	2	2	3	3	1	2	0	1	2	2	2	2	2	3	1	1
15	Démocratie	Un gouvernement devrait pouvoir faire adopter le budget sans vote de l’Assemblée nationale lorsqu’aucune majorité stable ne se dégage, afin d’éviter un blocage institutionnel.	-3	3	-3	3	-3	3	2	3	2	3	3	3	2	2	1	2	3	3	-1	2	1	3	0	2	0	1	-2	2	-2	2	-2	2	-2	2	-2	2	-2	2	-2	2	-2	2
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	2	2	1	2	1	2	0	2	-2	2	-2	1	-2	2	-1	2	-2	2	-3	2	-2	1	-2	1	-2	1	-1	1	0	1	-1	1	-1	1	-1	1	-1	1	-2	1	-1	1
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	3	2	2	2	3	2	3	2	2	2	2	2	1	2	2	3	-1	2	-1	2	-2	1	-1	2	-2	2	2	2	3	3	1	2	1	1	2	2	2	2	2	3	1	1
18	Institutions / territoires	Les régions devraient pouvoir adopter des règles différentes en matière économique, sociale ou environnementale plutôt que d’appliquer partout les mêmes règles nationales.	-3	3	-2	3	3	3	2	3	2	3	1	3	2	3	1	3	2	3	3	3	1	3	-2	3	0	2	3	3	3	3	3	3	1	3	3	3	1	3	2	3	1	3
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	-2	2	0	2	-2	2	-1	2	1	2	1	2	2	2	2	3	3	2	3	2	3	2	3	2	3	3	1	2	-1	2	2	2	2	2	0	2	1	2	1	1	2	1
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	-3	3	-3	3	-3	3	-2	2	1	2	0	2	2	2	-1	3	3	3	3	3	3	3	3	3	3	2	2	3	-2	2	1	2	2	3	2	3	2	3	1	3	3	3
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	-2	3	1	2	-2	2	-2	2	-2	2	2	3	3	3	2	3	2	2	2	2	2	2	2	3	2	1
22	Immigration / droits sociaux	Un étranger installé légalement en France depuis de nombreuses années devrait, à situation économique comparable, bénéficier des mêmes prestations sociales et du même accès au logement social qu’un citoyen français, sans priorité fondée sur la nationalité.	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	3	1	2	-3	3	-3	3	-3	2	2	2	3	3	1	2	2	3	2	2	1	2	2	2	2	3
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	-3	3	-2	2	-3	3	-2	2	1	2	0	2	1	2	0	2	2	2	3	3	3	3	3	3	3	3	2	2	-1	2	2	2	3	3	2	3	2	2	2	3	2	3
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	-2	2	-2	2	-2	2	-2	2	3	2	2	2	3	2	2	2	3	2	3	3	3	3	3	3	3	2	3	3	2	2	3	2	3	3	3	3	3	3	3	3	3	3
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	-3	2	-2	2	-3	2	-2	2	1	2	2	2	2	2	0	2	3	2	3	2	3	2	3	3	3	3	2	2	-1	2	2	2	2	2	1	2	2	2	1	1	3	3
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	3	3	3	3	3	3	3	2	0	2	1	2	-1	2	1	2	-2	2	-2	2	-2	1	-3	2	-3	2	-2	3	2	2	0	1	-2	2	1	2	-2	3	0	3	0	1
27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	-2	2	-1	2	-2	2	-1	2	1	2	0	2	2	2	-1	2	3	2	2	2	3	3	3	2	3	2	1	2	0	1	0	1	2	2	1	3	2	2	1	1	2	1
28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	3	2	2	2	3	3	2	2	0	2	2	2	-2	2	2	2	1	2	-1	2	-2	2	-2	1	-2	2	1	2	2	2	2	2	1	1	2	3	2	2	2	1	1	1
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	-3	2	-2	2	-3	2	-1	2	2	2	1	2	2	2	-1	3	2	2	2	2	2	2	3	2	3	2	2	2	0	2	1	2	2	3	2	3	2	2	2	3	2	3
30	Agriculture / commerce	La France devrait pouvoir interdire l’importation de produits agricoles fabriqués selon des normes qu’elle interdit à ses propres agriculteurs, même si cela faisait disparaître des rayons les produits alimentaires les moins chers.	2	3	2	3	3	3	2	3	1	3	1	3	1	3	1	3	2	3	0	3	0	3	3	3	2	3	-2	3	1	3	-2	3	-1	3	0	3	0	2	-1	3	2	3
32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	3	2	2	2	3	3	3	2	2	2	2	2	2	2	2	2	1	2	0	2	0	1	0	2	0	2	0	3	2	3	1	2	1	3	1	3	1	3	1	3	-1	1
33	Écologie	Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique.	2	2	2	2	3	3	2	2	1	2	1	2	1	2	1	3	-1	2	-2	2	-2	1	-2	2	-2	2	-2	2	2	2	1	2	0	2	1	2	1	3	1	3	-2	3
34	Economie	Une partie des cotisations sociales sur les salaires devrait être remplacée par une hausse de la TVA afin d’augmenter les salaires nets et de réduire le coût du travail, même si cela augmente le prix des biens et services consommés	-2	2	-3	3	-1	1	-2	2	2	2	1	3	1	1	2	1	1	2	1	3	0	2	-1	1	0	1	1	1	-2	3	0	2	2	3	-2	3	1	1	0	1	0	1
35	Écologie	Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions.	-3	2	-2	2	-1	2	0	2	2	2	1	2	2	2	-2	3	2	2	3	2	2	1	1	1	2	1	2	3	0	2	2	3	2	2	1	2	0	3	0	3	0	1
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	3	2	3	2	3	3	2	2	1	2	2	2	1	2	2	2	0	2	0	2	-2	1	-1	2	-1	2	0	2	2	3	0	2	0	2	2	2	2	2	2	3	0	1
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	3	2	3	2	3	2	2	2	2	2	2	2	1	1	2	2	0	1	0	1	-2	1	-2	2	-2	1	1	2	2	2	0	2	0	2	2	2	2	2	2	1	0	1
38	Europe	La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique.	-1	2	-2	3	3	2	3	2	2	2	2	2	2	2	1	3	0	2	-2	3	-2	1	-2	2	-2	2	2	3	3	3	-2	2	1	3	0	1	2	3	2	3	1	3
39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	2	2	2	2	-3	2	-3	2	-2	2	-2	2	-2	2	0	3	1	2	2	2	2	2	3	3	3	2	-2	2	-2	2	3	3	-1	2	1	2	-2	2	-2	2	0	2
40	Europe	L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique.	0	2	0	2	3	2	3	2	3	2	3	2	3	2	2	2	2	2	2	2	1	1	1	2	1	2	3	3	3	3	0	1	3	3	-3	1	-2	1	3	3	-1	1
41	Europe	L'Union européenne devrait pouvoir imposer davantage de règles communes aux États membres.	0	2	0	2	3	2	3	2	2	2	2	2	2	2	1	3	0	2	-1	3	-2	1	-2	2	-2	2	2	3	3	3	-1	1	1	3	0	1	2	2	2	3	1	1
42	Europe	En cas de conflit entre les intérêts économiques français et les règles européennes, la France devrait pouvoir désobéir à certaines règles européennes.	3	2	3	2	-2	2	-2	2	-3	2	-2	2	-2	2	0	2	2	2	2	2	2	2	3	3	3	2	-2	2	-2	2	0	1	-2	2	1	1	-3	3	-3	3	-2	3
43	Fiscalité / patrimoine	Il faudrait supprimer l'IFI et ne plus taxer spécifiquement le patrimoine immobilier au-delà de la fiscalité ordinaire.	-3	3	-3	3	-3	2	-2	3	1	2	0	2	2	2	-2	3	3	2	3	2	3	3	2	2	2	2	2	2	-3	3	-2	2	2	2	-2	3	-2	3	-1	2	2	1
44	Fiscalité / patrimoine	L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins de patrimoine à leurs enfants.	2	2	3	2	2	2	1	2	-1	2	0	2	-2	2	1	3	-3	2	-3	2	-3	3	-2	2	-3	2	-1	1	1	3	-2	2	-1	1	1	1	1	1	0	1	-2	1
45	Fiscalité / patrimoine	Les très grandes fortunes devraient être imposées sur leur patrimoine mondial, même lorsqu'elles quittent la France.	2	2	2	2	2	2	2	2	0	2	1	2	-1	2	1	1	-2	2	1	2	-2	1	-1	2	-2	2	-1	1	1	1	-1	1	-1	1	1	1	-1	1	0	1	-1	1
46	Travail / chômage	Un chômeur devrait pouvoir perdre une partie significative de ses allocations s'il refuse plusieurs emplois raisonnablement adaptés à ses compétences.	-2	2	-3	2	-3	2	-2	2	2	2	1	2	2	2	1	2	3	2	2	2	2	2	3	2	2	2	3	3	3	3	2	3	3	3	2	3	2	3	2	3	2	3
47	Outre-mer / vie chère	L’État devrait garantir que les produits essentiels ne coûtent pas beaucoup plus cher dans les DOM/TOM que dans l’Hexagone, quitte à subventionner durablement leur transport ou leur prix avec l’argent public national.	3	3	3	3	2	3	3	3	2	3	1	3	0	3	1	1	1	3	-1	2	-1	3	2	3	0	1	1	2	3	3	1	2	2	3	2	3	2	2	2	3	1	2
48	Travail / chômage	Le CDI protège trop fortement les salariés déjà en poste et peut rendre plus difficile l’accès à l’emploi stable, au détriment des jeunes, chômeurs ou travailleurs en contrats précaires.	-2	1	-2	1	-2	1	-1	1	2	2	1	1	2	2	2	3	2	2	3	3	2	1	-1	1	2	1	1	2	-2	3	2	3	2	2	-2	3	1	1	1	2	1	1
49	Retraites	Les retraites devraient être progressivement réformées vers un système combinant répartition et capitalisation, même si cela implique une période de transition coûteuse.	-3	2	-3	2	-3	2	-2	2	2	3	0	2	2	2	2	3	2	2	3	3	3	3	0	2	2	2	2	3	1	3	3	3	3	3	2	3	3	3	3	3	2	1
50	Retraites	L'âge légal de départ à la retraite devrait être automatiquement indexé sur l'espérance de vie nationale.	-3	2	-3	2	-2	2	-2	1	-2	3	1	2	2	2	-3	3	1	1	-2	3	0	1	-2	1	1	2	1	2	0	1	-2	3	3	3	1	1	1	3	3	3	-2	1
51	Protection sociale	Les prestations sociales devraient être fortement conditionnées à la durée de cotisation et de participation au marché du travail.	-3	2	-2	2	-3	2	-2	2	2	2	1	2	2	2	0	2	3	2	2	2	2	2	2	2	2	2	2	3	0	2	2	3	3	3	2	3	2	3	2	3	1	1
53	État / entreprises	Une entreprise qui reçoit plusieurs milliards d'euros d'aides publiques devrait pouvoir être contrainte de limiter ses dividendes et les rémunérations de ses dirigeants tant que l'aide n'est pas remboursée.	3	3	3	2	3	2	3	2	1	2	2	2	1	2	1	3	0	2	1	2	1	1	2	2	0	2	1	2	3	3	1	1	0	1	2	3	2	2	1	1	1	1
54	État / entreprises	L'État devrait davantage utiliser son pouvoir d'actionnaire pour orienter les grandes entreprises françaises vers des objectifs industriels de long terme.	3	2	3	3	2	2	2	2	1	1	1	1	1	1	3	3	1	1	1	2	0	1	2	1	0	1	1	2	2	3	1	1	3	3	2	3	1	1	1	1	2	1
55	État / entreprises	Il faudrait réduire fortement les normes administratives pesant sur les entreprises, même si certaines protections environnementales ou sociales deviennent moins strictes.	-3	2	-3	2	-3	2	-2	2	1	2	1	2	2	2	-1	2	2	2	3	3	3	3	2	2	3	2	2	3	-2	2	2	3	2	3	-1	2	0	3	2	3	2	3
56	Immigration / régularisation	Un étranger en situation irrégulière qui travaille de façon stable en France depuis plusieurs années et n’a commis aucun délit devrait pouvoir être régularisé, même s’il est entré ou est resté sur le territoire sans autorisation.	3	3	3	3	3	3	3	3	1	3	2	3	1	3	0	2	-3	3	-3	3	-3	3	-3	3	-3	3	1	3	3	3	1	3	-3	3	-2	3	-3	3	-1	3	-2	3
57	Immigration / assimilation	L'accès à certaines prestations sociales devrait être beaucoup plus limité pendant les premières années suivant l'arrivée d'un immigré.	-3	2	-3	2	-3	2	-2	2	1	2	0	2	1	2	0	2	3	3	3	3	3	3	3	2	3	2	1	3	-2	2	0	3	3	3	3	3	3	3	2	3	2	3
58	Immigration / assimilation	La France devrait privilégier l'immigration économique qualifiée, même si cela signifie accueillir moins de personnes peu qualifiées.	-1	1	-2	1	0	1	1	1	2	2	0	2	1	2	1	2	2	2	3	3	1	1	1	2	2	1	3	3	1	2	3	3	3	3	2	3	3	3	3	3	2	3
59	Immigration / assimilation	Une personne née en France de parents étrangers devrait automatiquement devenir française à sa majorité si elle y a grandi, même si elle ne manifeste pas particulièrement d'attachement à la France.	3	2	3	2	3	2	3	2	2	2	2	2	1	2	0	1	-2	2	-3	2	-3	3	-3	2	-3	2	2	3	-2	3	-3	3	-3	3	-1	3	-3	3	-3	3	-3	3
60	Immigration / assimilation	La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas s'intégrer culturellement à la société française.	-3	2	-2	2	-3	2	-2	2	1	2	1	2	2	2	1	2	3	2	3	3	2	2	3	2	3	2	2	2	-1	2	1	1	2	2	1	2	2	2	1	3	2	3
61	Immigration / assimilation	Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que les lois françaises sont respectées.	3	2	3	2	3	2	2	2	2	1	-1	2	1	2	3	3	-1	1	-2	2	-2	1	-2	2	-2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	-2	3
63	Libertés / sécurité	Pour lutter contre le terrorisme, l'État devrait pouvoir surveiller préventivement une personne considérée comme présentant un risque sérieux, même sans preuve suffisante pour engager des poursuites pénales.	-1	2	0	2	-1	2	0	2	2	2	1	2	2	2	1	2	3	2	2	2	2	1	3	2	3	2	2	2	1	2	1	1	2	3	2	3	2	2	2	3	2	3
64	Libertés / expression	Une personne qui tient publiquement des propos profondément offensants mais qui n'appelle ni à la violence ni à commettre une infraction devrait être protégée par la liberté d'expression.	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	3	2	2	2	2	2	1	2	2	3	1	1	2	1	2	2	2	1	1	1	1	1	1	2	1	2	1
66	Sécurité	Lorsqu’un conducteur refuse d’obtempérer et prend la fuite, les policiers devraient pouvoir utiliser leur arme à feu même si le danger pour leur vie n’est pas immédiat.	-3	3	-3	3	-3	3	-3	3	1	2	2	3	1	3	-1	2	2	3	1	1	2	3	2	3	2	3	-2	2	-2	3	0	1	-2	3	-2	3	-2	3	-2	1	-2	1
67	Écologie	Une taxe carbone qui réduit les émissions de CO₂ devrait être maintenue même si elle diminue le pouvoir d’achat des ménages modestes, à condition de compenser ces derniers par des aides ciblées.	-1	2	-2	2	3	2	3	2	2	2	2	2	2	2	2	3	0	2	0	2	-1	1	-1	2	-1	2	2	2	3	3	2	2	1	2	1	3	2	3	2	3	-2	1
68	Écologie	La France devrait interdire progressivement la vente de voitures thermiques même si cela augmente temporairement le prix moyen des véhicules.	3	2	2	2	3	3	3	2	2	2	2	2	1	2	1	3	-2	2	-2	2	-2	1	-3	2	-3	2	-1	2	2	3	1	1	1	2	2	3	2	3	2	3	-1	3
69	Écologie	Il faut privilégier le nucléaire même si cela conduit à réduire certains investissements dans les renouvelables.	-3	2	1	2	-3	2	0	2	1	2	1	2	1	2	0	2	3	2	3	3	2	1	3	2	3	2	-2	2	-2	2	0	2	1	2	1	2	-2	2	0	1	1	3
71	Écologie / croissance	Si la France pouvait réduire ses émissions de 20 % mais que cela réduisait son PIB de 3 %, alors que les autres pays ne faisaient aucun effort comparable, il faudrait quand même le faire.	2	1	2	2	2	2	2	2	0	1	1	1	0	1	1	3	-2	1	-1	1	-2	1	-2	1	-2	1	-1	2	1	2	-1	1	-2	2	1	2	1	2	1	2	-2	3
72	Institutions	Pour certaines décisions économiques complexes, il serait préférable de confier davantage de pouvoir à des institutions indépendantes composées d'experts plutôt qu'aux responsables politiques élus.	-2	2	-2	1	-1	1	-1	1	2	2	1	1	2	1	-1	2	1	1	-1	1	-1	1	-1	1	-1	1	1	2	1	1	-1	2	1	1	1	1	1	1	1	1	1	1
73	Institutions	Un gouvernement devrait pouvoir prendre une décision économiquement nécessaire mais très impopulaire sans chercher à obtenir l'approbation immédiate de la population.	0	1	0	1	0	1	0	1	2	2	1	1	2	1	1	2	2	2	1	1	1	1	0	1	1	1	1	2	1	1	-1	2	1	1	1	1	1	1	1	1	1	1
74	Institutions	Le référendum devrait être beaucoup plus utilisé, même lorsque les citoyens votent sur des sujets dont ils maîtrisent mal les aspects techniques.	2	2	3	2	2	2	2	2	0	2	1	2	0	2	1	2	2	2	3	2	3	3	3	2	3	2	-1	2	0	1	3	3	-1	1	-1	1	0	1	-1	1	-1	1
75	Institutions	Il serait acceptable de donner davantage de poids politique aux citoyens qui démontrent un niveau élevé de connaissance du fonctionnement des institutions et de l'économie.	-2	1	-3	2	-2	1	-2	1	-2	1	-2	1	-2	1	-3	2	-1	1	-1	1	-2	1	-2	1	-2	1	-1	1	-1	1	-2	2	-1	1	-1	1	-2	1	-2	1	-2	1
76	Institutions	Le président de la République devrait disposer de davantage de pouvoirs pour pouvoir mettre en œuvre un programme pendant cinq ans sans être constamment bloqué par le Parlement.	-3	2	-3	2	-2	2	-3	2	2	2	1	2	2	2	-1	3	2	2	2	2	2	1	2	2	2	1	-1	1	-1	1	-2	2	-1	1	1	1	-2	1	-2	3	-2	3
77	Institutions	La proportionnelle intégrale serait préférable au système actuel, même si elle rendait plus fréquentes les coalitions et les gouvernements instables.	3	2	3	2	2	2	2	2	-1	2	2	3	-1	2	0	2	-3	3	-3	2	0	1	2	2	1	2	2	2	2	3	3	3	2	2	1	1	2	3	3	3	2	3
78	Immigration / assimilation	Le droit de séjour durable en France devrait dépendre, sauf impossibilité particulière, d’efforts concrets pour apprendre le français, comprendre les règles et usages du pays et participer à la vie collective.	0	2	-1	2	-1	2	1	2	3	2	2	2	3	2	3	3	3	2	3	3	2	2	3	2	3	2	3	3	-1	3	3	2	3	3	2	3	3	3	3	3	3	3
79	Immigration / délinquance	Les différences de délinquance observées s’expliquent davantage par les inégalités sociales et économiques que par la culture d’origine des personnes concernées.	3	2	3	2	3	2	3	2	1	2	0	2	0	2	2	2	-1	2	-1	2	-2	1	-2	2	-3	2	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	0	1
80	Écologie / agriculture	La France devrait interdire aux agriculteurs l’usage d’un produit jugé trop polluant, même si cette interdiction les désavantage face à des concurrents étrangers qui peuvent encore l’utiliser.	3	3	3	3	3	3	3	3	-1	3	2	3	-2	2	1	3	-3	3	-3	3	-3	2	-3	3	-3	3	-2	2	-1	2	1	2	-2	2	2	2	2	3	1	1	-1	1
81	Santé / accès aux soins	Dans les zones où l'accès aux soins est insuffisant, l'Assurance maladie devrait pouvoir limiter le conventionnement de nouveaux médecins dans les zones déjà bien dotées afin d'encourager leur installation dans les déserts médicaux.	3	3	3	3	3	3	3	3	-2	3	2	3	1	3	0	2	0	3	-2	3	0	3	-3	3	-2	1	3	3	1	2	3	3	1	1	1	2	3	2	1	1	1	1
82	Santé / assurance maladie	L'Assurance maladie devrait rembourser intégralement les soins essentiels, quitte à réduire fortement le rôle des complémentaires santé.	3	3	3	3	2	2	3	2	-2	3	-1	2	-2	2	1	3	-2	2	-2	2	-2	1	-1	1	-2	1	-2	3	3	3	-3	3	-1	2	3	3	3	3	-3	3	2	3
83	Santé / hôpital	Il faut accepter de fermer ou regrouper certaines petites maternités et certains services d'urgence afin de concentrer les équipes et les équipements dans des établissements plus importants.	-3	2	-3	3	-2	2	-2	2	2	2	1	1	2	2	0	2	-1	1	0	1	0	1	-2	2	-1	1	2	3	-2	2	1	1	2	2	1	1	2	3	2	1	1	1
84	Éducation / autonomie	Les chefs d'établissement scolaire devraient pouvoir recruter eux-même une partie de leurs enseignants et peser davantage dans leur évaluation.	-3	2	-3	2	-2	1	-2	1	2	2	1	1	3	1	0	1	2	2	3	3	2	1	1	1	2	1	2	2	-1	1	2	2	2	2	3	3	2	2	2	3	-1	1
85	Éducation / mixité sociale	Le financement public des établissements privés sous contrat devrait être conditionné à des objectifs mesurables de mixité sociale.	3	2	3	2	3	2	3	2	1	1	2	1	0	1	0	1	-2	1	-3	3	-2	1	-2	1	-2	1	1	1	2	2	-1	1	1	1	0	1	1	1	0	1	1	1
86	Logement / locations touristiques	Dans les zones où le logement manque, une commune devrait pouvoir interdire la location touristique régulière d'un logement qui n'est pas la résidence principale de son propriétaire.	2	2	2	3	3	3	2	3	1	1	1	1	0	1	1	1	-1	1	-2	1	-1	1	1	1	-2	1	2	2	3	3	1	1	1	1	2	2	2	2	2	1	1	1
87	Défense / Ukraine	La France devrait continuer à fournir une aide militaire et financière importante à l'Ukraine tant que son territoire reste occupé, même si la guerre se prolonge.	-2	3	-2	3	3	3	3	3	3	3	3	3	3	3	1	2	3	3	2	2	0	3	0	3	-1	1	3	3	3	3	-2	3	3	3	3	3	3	3	3	3	3	3
88	Défense / dissuasion nucléaire	La dissuasion nucléaire française devrait aussi protéger les partenaires européens, tout en laissant à la France seule la décision finale de l'employer.	-3	2	-3	3	3	3	3	3	3	3	3	2	3	2	3	3	-3	3	2	3	-2	1	-3	3	-3	2	2	3	-2	3	-3	3	2	2	2	2	3	3	2	3	2	3
89	Santé / fin de vie	Une personne majeure atteinte d'une maladie grave et incurable provoquant des souffrances insupportables devrait pouvoir recevoir une aide médicale à mourir dans un cadre strictement contrôlé.	3	3	2	3	3	3	3	3	2	3	1	3	0	3	1	1	-2	3	-1	1	-3	3	-3	3	-3	2	2	2	3	3	2	3	-2	2	0	3	0	1	3	3	-2	1
90	Dépendance / EHPAD	Les groupes privés à but lucratif ne devraient plus pouvoir gérer d'EHPAD. Les établissements existants devraient progressivement devenir publics ou non lucratifs.	2	2	2	3	1	2	2	1	-1	1	0	1	-2	1	0	2	-2	1	-3	2	-2	1	1	1	-2	1	-2	2	1	1	-2	2	-2	2	-2	2	-3	2	-2	3	-1	1
91	Famille / prestations	Les allocations familiales devraient être versées à toutes les familles selon le nombre d'enfants, sans diminuer lorsque les revenus augmentent.	2	1	2	2	0	1	-2	2	-2	2	2	1	1	1	2	2	3	3	2	2	3	3	3	3	2	2	3	3	-2	2	2	2	3	3	-2	3	-1	2	1	3	3	3
