qid	theme	question	score	confidence	current_source	current_justification	old_source	old_justification
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Désaccord très fort : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-6-etendre-les-droits-et-libertes-face-aux-reactionnaires/	Accord très fort : LFI place l’extension des droits et libertés, l’égalité et la lutte contre les discriminations au cœur de son programme, avec une conception large des libertés civiles. Pour LFI, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur social / société.
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-6-etendre-les-droits-et-libertes-face-aux-reactionnaires/	Accord net : LFI place l’extension des droits et libertés, l’égalité et la lutte contre les discriminations au cœur de son programme, avec une conception large des libertés civiles. Pour LFI, sur Q16 (« Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord modéré : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-6-etendre-les-droits-et-libertes-face-aux-reactionnaires/	Accord très fort : LFI place l’extension des droits et libertés, l’égalité et la lutte contre les discriminations au cœur de son programme, avec une conception large des libertés civiles. Pour LFI, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur social / société.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	-2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-6-etendre-les-droits-et-libertes-face-aux-reactionnaires/	Désaccord net : LFI place l’extension des droits et libertés, l’égalité et la lutte contre les discriminations au cœur de son programme, avec une conception large des libertés civiles. Pour LFI, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord net : codage cohérent avec la ligne programmatique générale du parti sur social / société.
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	-3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-7-lutter-contre-lexil-force-et-organiser-un-accueil-coordonne/	Désaccord très fort : LFI défend un accueil digne, le droit d’asile, l’accès au travail et aux droits sociaux pour les exilés, ainsi que des voies d’intégration fondées sur les droits plutôt que sur la restriction migratoire. Pour LFI, sur Q20 (« La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année. »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-7-lutter-contre-lexil-force-et-organiser-un-accueil-coordonne/	Accord très fort : LFI défend un accueil digne, le droit d’asile, l’accès au travail et aux droits sociaux pour les exilés, ainsi que des voies d’intégration fondées sur les droits plutôt que sur la restriction migratoire. Pour LFI, sur Q21 (« L'immigration économique est globalement bénéfique pour l'économie française. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	-3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-7-lutter-contre-lexil-force-et-organiser-un-accueil-coordonne/	Désaccord très fort : LFI défend un accueil digne, le droit d’asile, l’accès au travail et aux droits sociaux pour les exilés, ainsi que des voies d’intégration fondées sur les droits plutôt que sur la restriction migratoire. Pour LFI, sur Q23 (« L'accès à la nationalité française devrait être rendu plus exigeant. »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-7-lutter-contre-lexil-force-et-organiser-un-accueil-coordonne/	Désaccord très fort : LFI défend un accueil digne, le droit d’asile, l’accès au travail et aux droits sociaux pour les exilés, ainsi que des voies d’intégration fondées sur les droits plutôt que sur la restriction migratoire. Pour LFI, sur Q25 (« Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays. »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-7-lutter-contre-lexil-force-et-organiser-un-accueil-coordonne/	Accord très fort : LFI défend un accueil digne, le droit d’asile, l’accès au travail et aux droits sociaux pour les exilés, ainsi que des voies d’intégration fondées sur les droits plutôt que sur la restriction migratoire. Pour LFI, sur Q26 (« La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	-2	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord net : LFI privilégie une police de proximité, la prévention, l’indépendance de la justice et le respect des libertés publiques, tout en demandant davantage de moyens humains pour la justice et certains services de sécurité. Pour LFI, sur Q27 (« Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord très fort : LFI privilégie une police de proximité, la prévention, l’indépendance de la justice et le respect des libertés publiques, tout en demandant davantage de moyens humains pour la justice et certains services de sécurité. Pour LFI, sur Q28 (« Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	-3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord très fort : LFI privilégie une police de proximité, la prévention, l’indépendance de la justice et le respect des libertés publiques, tout en demandant davantage de moyens humains pour la justice et certains services de sécurité. Pour LFI, sur Q29 (« La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines… »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-4-faire-la-planification-ecologique-europeenne/	Accord très fort : LFI défend une planification écologique contraignante, la sortie des énergies fossiles, des interdictions ciblées et une réduction matérielle de certains usages plutôt qu’une transition principalement laissée au marché. Pour LFI, sur Q32 (« La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
33	Écologie	Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique.	2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-4-faire-la-planification-ecologique-europeenne/	Accord net : LFI défend une planification écologique contraignante, la sortie des énergies fossiles, des interdictions ciblées et une réduction matérielle de certains usages plutôt qu’une transition principalement laissée au marché. Pour LFI, sur Q33 (« Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord net : codage cohérent avec la ligne programmatique générale du parti sur écologie.
34	Economie	Une partie des cotisations sociales sur les salaires devrait être remplacée par une hausse de la TVA afin d’augmenter les salaires nets et de réduire le coût du travail, même si cela augmente le prix des biens et services consommés	-2	2	https://lafranceinsoumise.fr/budget-lecornu-2026-une-saignee-sociale/	Désaccord net : -2. Pour LFI, sur Q34 (« Une partie des cotisations sociales sur les salaires devrait être remplacée par une hausse de la TVA afin d’augmenter les salaires nets et de réduire… »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://lafranceinsoumise.fr/budget-lecornu-2026-une-saignee-sociale/	LFI rejette le transfert du financement social vers des taxes sur la consommation et les baisses de cotisations qui fragilisent la Sécurité sociale. Opposition nette, sans source proposant mot pour mot la TVA sociale : -2.
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-4-faire-la-planification-ecologique-europeenne/	Accord très fort : LFI défend une planification écologique contraignante, la sortie des énergies fossiles, des interdictions ciblées et une réduction matérielle de certains usages plutôt qu’une transition principalement laissée au marché. Pour LFI, sur Q36 (« Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur écologie.
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-4-faire-la-planification-ecologique-europeenne/	Accord très fort : LFI défend une planification écologique contraignante, la sortie des énergies fossiles, des interdictions ciblées et une réduction matérielle de certains usages plutôt qu’une transition principalement laissée au marché. Pour LFI, sur Q37 (« Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
38	Europe	La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique.	-1	2	https://lafranceinsoumise.fr/europeennes-2024/lespace-programme/	Réserve modérée : LFI veut transformer profondément les règles européennes et assume la désobéissance à certaines d’entre elles lorsqu’elles empêchent l’application de son programme social et écologique. Pour LFI, sur Q38 (« La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	2	2	https://lafranceinsoumise.fr/europeennes-2024/lespace-programme/	Accord net : LFI veut transformer profondément les règles européennes et assume la désobéissance à certaines d’entre elles lorsqu’elles empêchent l’application de son programme social et écologique. Pour LFI, sur Q39 (« La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
40	Europe	L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique.	0	2	https://lafranceinsoumise.fr/europeennes-2024/lespace-programme/	Position intermédiaire : LFI veut transformer profondément les règles européennes et assume la désobéissance à certaines d’entre elles lorsqu’elles empêchent l’application de son programme social et écologique. Pour LFI, sur Q40 (« L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
41	Europe	L'Union européenne devrait pouvoir imposer davantage de règles communes aux États membres.	0	2	https://lafranceinsoumise.fr/europeennes-2024/lespace-programme/	Position intermédiaire : LFI veut transformer profondément les règles européennes et assume la désobéissance à certaines d’entre elles lorsqu’elles empêchent l’application de son programme social et écologique. Pour LFI, sur Q41 (« L'Union européenne devrait pouvoir imposer davantage de règles communes aux États membres. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
42	Europe	En cas de conflit entre les intérêts économiques français et les règles européennes, la France devrait pouvoir désobéir à certaines règles européennes.	3	2	https://lafranceinsoumise.fr/europeennes-2024/lespace-programme/	Accord très fort : LFI veut transformer profondément les règles européennes et assume la désobéissance à certaines d’entre elles lorsqu’elles empêchent l’application de son programme social et écologique. Pour LFI, sur Q42 (« En cas de conflit entre les intérêts économiques français et les règles européennes, la France devrait pouvoir désobéir à certaines règles européennes. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
43	Fiscalité / patrimoine	Il faudrait supprimer l'IFI et ne plus taxer spécifiquement le patrimoine immobilier au-delà de la fiscalité ordinaire.	-3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q43 (« Il faudrait supprimer l'IFI et ne plus taxer spécifiquement le patrimoine immobilier au-delà de la fiscalité ordinaire. »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
44	Fiscalité / patrimoine	L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins de patrimoine à leurs enfants.	2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord net : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q44 (« L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
45	Fiscalité / patrimoine	Les très grandes fortunes devraient être imposées sur leur patrimoine mondial, même lorsqu'elles quittent la France.	2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord net : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q45 (« Les très grandes fortunes devraient être imposées sur leur patrimoine mondial, même lorsqu'elles quittent la France. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
46	Travail / chômage	Un chômeur devrait pouvoir perdre une partie significative de ses allocations s'il refuse plusieurs emplois raisonnablement adaptés à ses compétences.	-2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Désaccord net : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q46 (« Un chômeur devrait pouvoir perdre une partie significative de ses allocations s'il refuse plusieurs emplois raisonnablement adaptés à ses compétences. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
